topic,rank,term,probability
Topic 1,1,visual,0.0552
Topic 1,2,impair,0.0449
Topic 1,3,access,0.0402
Topic 1,4,art,0.0366
Topic 1,5,servic,0.0317
Topic 1,6,public,0.0305
Topic 1,7,cultur,0.0297
Topic 1,8,inclus,0.0194
Topic 1,9,person,0.0161
Topic 1,10,innov,0.015
Topic 2,1,interact,0.0372
Topic 2,2,commun,0.0201
Topic 2,3,visual,0.0166
Topic 2,4,student,0.0165
Topic 2,5,technolog,0.0122
Topic 2,6,provid,0.0116
Topic 2,7,project,0.0108
Topic 2,8,form,0.01
Topic 2,9,engag,0.0098
Topic 2,10,educ,0.0095
Topic 3,1,social,0.0272
Topic 3,2,interact,0.0263
Topic 3,3,activ,0.017
Topic 3,4,interfac,0.0143
Topic 3,5,cultur,0.0128
Topic 3,6,relationship,0.0121
Topic 3,7,inform,0.0112
Topic 3,8,mobil,0.0106
Topic 3,9,environ,0.0102
Topic 3,10,commun,0.0097
Topic 4,1,gestur,0.0278
Topic 4,2,tool,0.0225
Topic 4,3,inform,0.0181
Topic 4,4,spatial,0.0157
Topic 4,5,pattern,0.0151
Topic 4,6,tension,0.0151
Topic 4,7,interact,0.0151
Topic 4,8,collabor,0.015
Topic 4,9,knowledg,0.0137
Topic 4,10,field,0.0134
Topic 5,1,materi,0.0483
Topic 5,2,textil,0.0288
Topic 5,3,digit,0.0228
Topic 5,4,fashion,0.0168
Topic 5,5,affect,0.016
Topic 5,6,interact,0.0151
Topic 5,7,percept,0.0145
Topic 5,8,children,0.014
Topic 5,9,futur,0.0127
Topic 5,10,emot,0.0118
Topic 6,1,architectur,0.0343
Topic 6,2,bodi,0.0181
Topic 6,3,build,0.0172
Topic 6,4,sens,0.0165
Topic 6,5,prototyp,0.0153
Topic 6,6,student,0.014
Topic 6,7,space,0.0139
Topic 6,8,make,0.0127
Topic 6,9,learn,0.0116
Topic 6,10,intervent,0.01
Topic 7,1,materi,0.0329
Topic 7,2,textur,0.0291
Topic 7,3,digit,0.0264
Topic 7,4,gener,0.019
Topic 7,5,control,0.0174
Topic 7,6,custom,0.0161
Topic 7,7,collabor,0.0159
Topic 7,8,present,0.0142
Topic 7,9,cognit,0.0123
Topic 7,10,architectur,0.0116
